,CIK,Company_Name,Filing,Date,Hedge_FalsePositive
44,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2012-08-02,1
45,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2012-11-07,1
46,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2013-02-22,1
47,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K/A,2013-02-27,1
48,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2013-05-08,1
49,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2013-08-01,1
50,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2013-11-06,1
51,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2014-03-03,1
52,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2014-05-06,1
53,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2014-08-05,1
54,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2014-11-04,1
55,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2015-02-26,1
56,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2015-05-06,1
57,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2015-08-04,1
58,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2015-11-06,1
59,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2016-02-29,1
60,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2016-05-09,1
61,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2016-08-04,1
62,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2016-11-04,1
63,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2017-05-04,1
64,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2017-08-03,1
65,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2017-11-02,1
66,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2018-02-27,1
67,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2018-05-03,1
68,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2018-08-02,1
69,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-Q,2002-11-13,1
70,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-Q,2014-10-30,1
71,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-K,2015-02-19,1
72,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-K,2016-02-18,1
73,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-K,2017-02-21,1
74,2488,ADVANCED MICRO DEVICES INC (AMD) (CIK 0000002488),10-K,2018-02-27,1
75,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-K,2014-02-28,1
76,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2014-04-24,1
77,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2014-07-29,1
78,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2014-10-28,1
79,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2015-04-28,1
80,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2015-08-04,1
81,1122304,AETNA INC /PA/ (AET) (CIK 0001122304),10-Q,2015-10-29,1
82,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2000-08-11,1
83,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2001-02-13,1
84,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2001-12-14,1
85,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2001-12-14,1
86,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2010-04-26,1
87,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2012-07-27,1
88,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2012-11-20,1
89,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2013-01-25,1
90,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2013-04-25,1
91,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2013-07-24,1
92,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2013-11-26,1
93,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2014-01-29,1
94,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2014-04-24,1
95,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2014-07-24,1
96,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2014-11-24,1
97,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2015-01-30,1
98,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2015-04-30,1
99,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2015-07-30,1
100,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2015-11-24,1
101,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2016-01-29,1
102,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2016-04-28,1
103,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2016-07-29,1
104,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2016-11-21,1
105,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2017-01-27,1
106,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2017-04-27,1
107,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2017-08-01,1
108,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2017-11-16,1
109,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2018-01-26,1
110,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2018-04-26,1
111,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2018-07-26,1
112,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2018-11-20,1
113,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2019-01-25,1
114,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2019-04-24,1
115,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2019-07-25,1
116,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2019-11-26,1
117,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2020-01-24,1
118,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2020-04-23,1
119,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2020-07-23,1
120,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2020-11-19,1
121,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2021-02-04,1
122,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2021-05-10,1
123,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2021-08-09,1
124,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-K,2021-11-18,1
125,2969,AIR PRODUCTS & CHEMICALS INC /DE/ (APD) (CIK 0000002969),10-Q,2022-02-04,1
126,2969,"Air Products & Chemicals, Inc. (APD) (CIK 0000002969)",10-Q,2022-05-05,1
127,2969,"Air Products & Chemicals, Inc. (APD) (CIK 0000002969)",10-Q,2022-08-04,1
128,41091,GEORGIA POWER CO (GPJA) (CIK 0000041091),10-K,2005-03-01,1
129,3327,ALBERTO CULVER CO (CIK 0000003327),10-K,2002-12-12,1
130,3327,ALBERTO CULVER CO (CIK 0000003327),10-K,2003-12-12,1
131,3327,ALBERTO CULVER CO (CIK 0000003327),10-K,2004-12-13,1
132,3370,IKON OFFICE SOLUTIONS INC (CIK 0000003370),10-K,2007-11-29,1
133,3453,ALEXANDER & BALDWIN INC (MATX) (CIK 0000003453),10-K,2002-03-11,1
134,3453,ALEXANDER & BALDWIN INC (MATX) (CIK 0000003453),10-K,2003-03-10,1
135,3545,ALICO INC (ALCO) (CIK 0000003545),10-K,2011-12-14,1
136,3545,ALICO INC (ALCO) (CIK 0000003545),10-K,2012-12-05,1
137,3673,ALLEGHENY ENERGY INC (CIK 0000003673),10-Q,2002-08-14,1
138,3673,ALLEGHENY ENERGY INC (CIK 0000003673),10-K,2003-09-25,1
139,3673,ALLEGHENY ENERGY INC (CIK 0000003673),10-K,2004-03-11,1
140,3673,ALLEGHENY ENERGY INC (CIK 0000003673),10-K,2005-03-10,1
141,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2009-05-08,1
142,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2009-08-07,1
143,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2009-11-09,1
144,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-K,2010-03-01,1
145,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2010-05-07,1
146,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2010-08-06,1
147,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-Q,2010-11-05,1
148,3673,"ALLEGHENY ENERGY, INC (CIK 0000003673)",10-K,2011-02-23,1
149,773840,HONEYWELL INTERNATIONAL INC (HON) (CIK 0000773840),10-K,2009-02-13,1
150,773840,HONEYWELL INTERNATIONAL INC (HON) (CIK 0000773840),10-Q,2009-04-24,1
151,773840,HONEYWELL INTERNATIONAL INC (HON) (CIK 0000773840),10-K,2010-02-12,1
152,773840,HONEYWELL INTERNATIONAL INC (HON) (CIK 0000773840),10-Q,2010-04-23,1
153,65873,ALLTEL CORP (CIK 0000065873),10-K,2003-03-19,1
154,65873,ALLTEL CORP (CIK 0000065873),10-K,2003-03-19,1
155,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-05-14,1
156,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-05-14,1
157,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-08-13,1
158,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-08-13,1
159,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-11-13,1
160,65873,ALLTEL CORP (CIK 0000065873),10-Q,2003-11-13,1
161,65873,ALLTEL CORP (CIK 0000065873),10-K,2004-03-05,1
162,65873,ALLTEL CORP (CIK 0000065873),10-K,2004-03-05,1
163,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-05-07,1
164,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-05-07,1
165,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-08-06,1
166,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-08-06,1
167,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-11-05,1
168,65873,ALLTEL CORP (CIK 0000065873),10-Q,2004-11-05,1
169,65873,ALLTEL CORP (CIK 0000065873),10-K,2005-02-10,1
170,65873,ALLTEL CORP (CIK 0000065873),10-K,2005-02-10,1
171,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-05-06,1
172,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-05-06,1
173,65873,ALLTEL CORP (CIK 0000065873),10-K/A,2005-06-21,1
174,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-08-09,1
175,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-08-09,1
176,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-11-08,1
177,65873,ALLTEL CORP (CIK 0000065873),10-Q,2005-11-08,1
178,65873,ALLTEL CORP (CIK 0000065873),10-K,2006-03-10,1
179,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-05-09,1
180,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-05-09,1
181,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-08-08,1
182,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-08-08,1
183,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-11-08,1
184,65873,ALLTEL CORP (CIK 0000065873),10-Q,2006-11-08,1
185,65873,ALLTEL CORP (CIK 0000065873),10-K,2007-02-20,1
186,65873,ALLTEL CORP (CIK 0000065873),10-K,2007-02-20,1
187,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-05-08,1
188,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-05-08,1
189,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-08-08,1
190,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-08-08,1
191,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-10-19,1
192,65873,ALLTEL CORP (CIK 0000065873),10-Q,2007-10-19,1
193,65873,ALLTEL CORP (CIK 0000065873),10-K,2008-03-20,1
194,65873,ALLTEL CORP (CIK 0000065873),10-K,2008-03-20,1
195,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-05-15,1
196,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-05-15,1
197,65873,ALLTEL CORP (CIK 0000065873),10-K/A,2008-06-16,1
198,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-08-13,1
199,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-08-13,1
200,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-11-04,1
201,65873,ALLTEL CORP (CIK 0000065873),10-Q,2008-11-04,1
202,4515,AMERICAN AIRLINES INC (CIK 0000004515),10-Q,2000-10-26,1
203,4515,AMERICAN AIRLINES INC (CIK 0000004515),10-Q,2001-04-24,1
204,4515,AMERICAN AIRLINES INC (CIK 0000004515),10-K,2003-04-15,1
205,4457,AMERCO /NV/ (UHAL) (CIK 0000004457),10-K,2004-06-18,1
206,4457,AMERCO /NV/ (UHAL) (CIK 0000004457),10-K,2005-06-22,1
207,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2004-03-12,1
208,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2005-03-14,1
209,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2005-08-09,1
210,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2005-11-08,1
211,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K/A,2006-02-14,1
212,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q/A,2006-02-17,1
213,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q/A,2006-02-17,1
214,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2006-03-09,1
215,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2006-05-09,1
216,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2006-08-08,1
217,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2006-11-08,1
218,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2007-05-09,1
219,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2007-08-08,1
220,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2007-11-08,1
221,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2008-02-28,1
222,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K/A,2008-03-03,1
223,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2008-05-09,1
224,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2008-08-08,1
225,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2008-11-10,1
226,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2009-02-27,1
227,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2009-08-07,1
228,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2009-11-06,1
229,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2010-02-24,1
230,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2010-02-24,1
231,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2010-05-07,1
232,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2010-08-06,1
233,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2010-11-08,1
234,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2011-02-23,1
235,789073,FORTUNE BRANDS INC (CIK 0000789073),10-K,2011-02-23,1
236,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2011-05-09,1
237,789073,FORTUNE BRANDS INC (CIK 0000789073),10-Q,2011-08-05,1
238,789073,BEAM INC (CIK 0000789073),10-K,2012-02-29,1
239,789073,BEAM INC (CIK 0000789073),10-K,2012-02-29,1
240,789073,BEAM INC (CIK 0000789073),10-Q,2012-11-08,1
241,789073,BEAM INC (CIK 0000789073),10-K,2013-02-26,1
242,789073,BEAM INC (CIK 0000789073),10-K,2013-02-26,1
243,789073,BEAM INC (CIK 0000789073),10-Q,2013-05-06,1
244,789073,BEAM INC (CIK 0000789073),10-Q,2013-08-09,1
245,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-Q,2018-06-07,1
246,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-Q,2018-09-07,1
247,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-K,2018-12-21,1
248,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-Q,2019-06-06,1
249,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-Q,2019-09-06,1
250,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-K,2019-12-20,1
251,771497,ABM INDUSTRIES INC /DE/ (ABM) (CIK 0000771497),10-K,2020-12-17,1
252,4904,"AMERICAN ELECTRIC POWER CO INC (AEP, AEP-PB) (CIK 0000004904)",10-K,2016-02-24,1
253,4904,"AMERICAN ELECTRIC POWER CO INC (AEP, AEP-PB) (CIK 0000004904)",10-K,2017-02-28,1
254,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2004-03-12,1
255,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2005-03-10,1
256,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2006-03-06,1
257,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2009-08-03,1
258,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2009-10-30,1
259,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2010-02-26,1
260,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2010-05-05,1
261,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2010-08-05,1
262,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2010-11-03,1
263,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2011-02-28,1
264,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2011-05-04,1
265,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2011-08-03,1
266,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2011-11-02,1
267,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2012-05-01,1
268,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2012-08-02,1
269,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2012-10-31,1
270,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2013-02-22,1
271,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2013-04-29,1
272,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2013-07-29,1
273,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2013-10-29,1
274,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2014-02-25,1
275,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2014-04-29,1
276,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2014-07-30,1
277,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2014-10-28,1
278,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2015-02-24,1
279,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2015-04-29,1
280,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2015-07-29,1
281,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2015-10-28,1
282,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-K,2016-02-19,1
283,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2016-04-27,1
284,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2016-07-26,1
285,4962,AMERICAN EXPRESS CO (AXP) (CIK 0000004962),10-Q,2016-10-25,1
286,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2004-03-25,1
287,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2005-03-31,1
288,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2006-03-31,1
289,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2007-03-30,1
290,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2008-03-17,1
291,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2009-05-08,1
292,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2009-08-12,1
293,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q/A,2009-11-16,1
294,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q/A,2009-11-16,1
295,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2009-11-16,1
296,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q/A,2010-03-31,1
297,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2010-03-31,1
298,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2010-05-17,1
299,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2010-08-12,1
300,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-Q,2010-11-10,1
301,4969,AMERICAN EXPRESS CREDIT CORP (CIK 0000004969),10-K,2011-03-31,1
