,CIK,Company_Name,Filing,Date,Hedge_Positive,Hedge_FalsePositive
89,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2013-04-26,1,
90,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-06-18,1,
91,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-09-19,1,
92,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-12-17,1,
93,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-K,2014-04-23,1,
94,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2014-06-12,1,
95,25350,BESTFOODS (CIK 0000025350),10-Q,2000-08-03,1,
96,25350,BESTFOODS (CIK 0000025350),10-Q/A,2000-08-10,1,
97,16918,"CONSTELLATION BRANDS INC (STZ, STZB) (CIK 0000016918)",10-K,2001-05-29,1,
98,19719,BELL ATLANTIC WASHINGTON DC INC (CIK 0000019719),10-Q,2000-08-14,1,
99,19719,VERIZON WASHINGTON DC INC (CIK 0000019719),10-Q,2000-11-14,1,
100,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2000-08-01,1,
101,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2000-08-01,1,
102,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2000-10-26,1,
103,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2000-10-26,1,
104,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-K,2001-02-09,1,
105,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2001-04-25,1,
106,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2001-04-25,1,
107,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2001-07-26,1,
108,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-Q,2001-10-23,1,
109,714154,COMPAQ COMPUTER CORP (CIK 0000714154),10-K,2002-01-30,1,
110,1058560,EVEREST HEALTHCARE SERVICES CORP (CIK 0001058560),10-K,2000-12-27,1,
111,225261,DMI FURNITURE INC (CIK 0000225261),10-K,2001-11-05,1,
112,225261,DMI FURNITURE INC (CIK 0000225261),10-K/A,2002-11-07,1,
113,225261,DMI FURNITURE INC (CIK 0000225261),10-K,2002-11-07,1,
114,225261,DMI FURNITURE INC (CIK 0000225261),10-Q,2003-01-06,1,
115,225261,DMI FURNITURE INC (CIK 0000225261),10-Q,2003-04-09,1,
116,225261,DMI FURNITURE INC (CIK 0000225261),10-Q,2003-07-01,1,
117,28365,DETECTION SYSTEMS INC (CIK 0000028365),10-Q,2000-08-14,1,
118,30770,DYNCORP (CIK 0000030770),10-K,2002-04-11,1,
119,30770,DYNCORP (CIK 0000030770),10-Q,2002-05-13,1,
120,30770,DYNCORP (CIK 0000030770),10-K/A,2002-05-15,1,
121,30770,DYNCORP (CIK 0000030770),10-Q,2002-08-19,1,
122,30770,DYNCORP (CIK 0000030770),10-K/A,2002-11-01,1,
123,30770,DYNCORP (CIK 0000030770),10-Q/A,2002-11-05,1,
124,30770,DYNCORP (CIK 0000030770),10-Q/A,2002-11-08,1,
125,30770,DYNCORP (CIK 0000030770),10-Q,2002-11-15,1,
126,30770,DYNCORP (CIK 0000030770),10-Q/A,2002-12-23,1,
127,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-K,2000-09-27,1,
128,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-Q,2000-11-13,1,
129,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-Q,2001-02-13,1,
130,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-Q,2001-05-14,1,
131,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-K,2001-09-24,1,
132,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-Q,2001-11-13,1,
133,32666,EMONS TRANSPORTATION GROUP INC (CIK 0000032666),10-Q,2002-02-13,1,
134,34046,EXOLON ESK CO (CIK 0000034046),10-K,2001-04-02,1,
135,34046,EXOLON ESK CO (CIK 0000034046),10-Q/A,2001-06-05,1,
136,34046,EXOLON ESK CO (CIK 0000034046),10-Q,2001-08-03,1,
137,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-Q,2000-08-11,1,
138,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-Q,2000-11-13,1,
139,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-Q,2000-11-13,1,
140,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-Q,2000-11-13,1,
141,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-Q,2000-11-13,1,
142,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-K,2001-03-14,1,
143,276189,FAIRFIELD COMMUNITIES INC (CIK 0000276189),10-K,2001-03-14,1,
144,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-K,2000-11-22,1,
145,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-K,2001-11-20,1,
146,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-Q,2002-04-15,1,
147,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-Q,2002-04-15,1,
148,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-Q,2002-07-15,1,
149,34616,FARMLAND INDUSTRIES INC (CIK 0000034616),10-K,2002-11-27,1,
150,36510,ALLFIRST FINANCIAL INC (CIK 0000036510),10-Q,2001-05-15,1,
151,36510,ALLFIRST FINANCIAL INC (CIK 0000036510),10-Q,2002-05-15,1,
152,36510,ALLFIRST FINANCIAL INC (CIK 0000036510),10-Q,2002-08-14,1,
153,36510,ALLFIRST FINANCIAL INC (CIK 0000036510),10-Q,2002-11-15,1,
154,37661,AMERISTEEL CORP (CIK 0000037661),10-Q,2001-11-05,1,
155,37661,AMERISTEEL CORP (CIK 0000037661),10-Q,2002-05-09,1,
156,37661,AMERISTEEL CORP (CIK 0000037661),10-Q,2002-08-12,1,
157,37661,AMERISTEEL CORP (CIK 0000037661),10-Q,2002-11-15,1,
158,731947,SWISS ARMY BRANDS INC (CIK 0000731947),10-K,2001-03-30,1,
159,731947,SWISS ARMY BRANDS INC (CIK 0000731947),10-K,2002-04-01,1,
160,276478,GATX RAIL CORP (CIK 0000276478),10-K,2001-03-30,1,
161,40493,HARCOURT GENERAL INC (CIK 0000040493),10-K/A,2000-10-24,1,
162,40972,GENRAD INC (CIK 0000040972),10-K,2001-03-30,1,
163,40972,GENRAD INC (CIK 0000040972),10-Q,2001-05-17,1,
164,40972,GENRAD INC (CIK 0000040972),10-K/A,2001-08-30,1,
165,41052,BONTEX INC (CIK 0000041052),10-K,2000-09-28,1,
166,41052,BONTEX INC (CIK 0000041052),10-Q,2001-11-14,1,
167,41052,BONTEX INC (CIK 0000041052),10-Q,2002-02-14,1,
168,41052,BONTEX INC (CIK 0000041052),10-Q,2002-05-15,1,
169,41656,GLADSTONE ENERGY INC (CIK 0000041656),10-Q,2001-05-15,1,
170,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2000-08-11,1,
171,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2000-08-11,1,
172,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2000-11-13,1,
173,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2000-11-13,1,
174,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-K,2001-03-26,1,
175,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-05-11,1,
176,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-05-11,1,
177,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-08-10,1,
178,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-08-10,1,
179,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-11-09,1,
180,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2001-11-09,1,
181,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-K,2002-03-28,1,
182,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-K,2002-03-28,1,
183,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2002-05-10,1,
184,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2002-05-10,1,
185,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2002-08-13,1,
186,1019508,GOLDEN STATE BANCORP INC (CIK 0001019508),10-Q,2002-08-13,1,
187,890175,CONSECO FINANCE CORP (CIK 0000890175),10-K,2001-04-02,1,
188,890175,CONSECO FINANCE CORP (CIK 0000890175),10-K,2002-04-01,1,
189,43960,FINOVA CAPITAL CORP (CIK 0000043960),10-Q,2001-05-15,1,
190,43960,FINOVA CAPITAL CORP (CIK 0000043960),10-Q,2001-08-02,1,
191,45260,HAMPTON INDUSTRIES INC /NC/ (CIK 0000045260),10-K,2001-04-26,1,
192,45260,HAMPTON INDUSTRIES INC /NC/ (CIK 0000045260),10-K/A,2001-04-27,1,
193,45260,HAMPTON INDUSTRIES INC /NC/ (CIK 0000045260),10-Q,2001-05-15,1,
194,45260,HAMPTON INDUSTRIES INC /NC/ (CIK 0000045260),10-Q,2001-08-24,1,
195,45260,HAMPTON INDUSTRIES INC /NC/ (CIK 0000045260),10-Q,2001-11-19,1,
196,45729,HARRIS BANKCORP INC (CIK 0000045729),10-Q,2001-05-14,1,
197,45729,HARRIS BANKCORP INC (CIK 0000045729),10-Q,2001-08-13,1,
198,45729,HARRIS BANKCORP INC (CIK 0000045729),10-Q,2001-11-14,1,
199,46216,GTE HAWAIIAN TELEPHONE CO INC (CIK 0000046216),10-Q,2000-08-14,1,
200,46216,VERIZON HAWAII INC (CIK 0000046216),10-Q,2000-11-14,1,
201,317551,HIGH PLAINS CORP (CIK 0000317551),10-K,2000-09-28,1,
202,317551,HIGH PLAINS CORP (CIK 0000317551),10-K/A,2000-10-20,1,
203,317551,HIGH PLAINS CORP (CIK 0000317551),10-K,2001-10-11,1,
204,317551,HIGH PLAINS CORP (CIK 0000317551),10-K/A,2001-10-30,1,
205,49146,HUNT CORP (CIK 0000049146),10-K,2002-03-04,1,
206,52477,IBP INC (CIK 0000052477),10-K/A,2001-03-14,1,
207,52477,IBP INC (CIK 0000052477),10-K,2001-03-30,1,
208,52477,IBP INC (CIK 0000052477),10-Q,2001-05-15,1,
209,1387976,WELLENTECH SERVICES INC (CSRH) (CIK 0001387976),10-Q,2008-05-14,1,
210,1387976,WELLENTECH SERVICES INC (CSRH) (CIK 0001387976),10-Q/A,2008-06-02,1,
211,1387976,WELLENTECH SERVICES INC (CSRH) (CIK 0001387976),10-Q,2008-08-14,1,
212,1387976,Implex Corp (CSRH) (CIK 0001387976),10-Q,2008-12-19,1,
213,1387976,"Consorteum Holdings, Inc. (CSRH) (CIK 0001387976)",10-Q,2009-05-20,1,
214,720477,IMATRON INC (CIK 0000720477),10-K,2001-03-28,1,
215,720477,IMATRON INC (CIK 0000720477),10-K/A,2001-03-30,1,
216,50916,DAIN RAUSCHER CORP (CIK 0000050916),10-Q,2000-08-11,1,
217,50916,DAIN RAUSCHER CORP (CIK 0000050916),10-Q,2000-11-13,1,
218,51396,MALLINCKRODT INC /MO (CIK 0000051396),10-K,2000-08-28,1,
219,732152,QUESTRON TECHNOLOGY INC (CIK 0000732152),10-K,2001-04-02,1,
220,732152,QUESTRON TECHNOLOGY INC (CIK 0000732152),10-Q,2001-05-15,1,
221,919465,BERRY PLASTICS HOLDING CORP (CIK 0000919465),10-K,2007-03-12,1,
222,919465,BERRY PLASTICS HOLDING CORP (CIK 0000919465),10-K,2007-12-26,1,
223,1075622,VENTURE PACKAGING INC (CIK 0001075622),10-Q,2008-02-12,1,
224,1381515,"Landis Plastics, Inc (CIK 0001381515)",10-Q,2008-05-12,1,
225,1114652,BERRY PLASTICS ACQUISITION CORP III (CIK 0001114652),10-Q,2008-08-07,1,
226,1381510,"Pescor, Inc (CIK 0001381510)",10-K,2008-12-16,1,
227,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-02-09,1,
228,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-05-11,1,
229,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-08-10,1,
230,1093665,CARDINAL PACKAGING INC (CIK 0001093665),10-K,2009-11-24,1,
231,57187,LACLEDE STEEL CO /DE/ (CIK 0000057187),10-Q,2001-02-20,1,
232,225569,AMRESCO INC (CIK 0000225569),10-Q,2000-08-04,1,
233,225569,AMRESCO INC (CIK 0000225569),10-Q,2000-11-14,1,
234,225569,AMRESCO INC (CIK 0000225569),10-K,2001-04-02,1,
235,225569,AMRESCO INC (CIK 0000225569),10-Q,2001-05-15,1,
236,60195,LONE STAR INDUSTRIES INC (CIK 0000060195),10-Q,2000-08-11,1,
237,60195,LONE STAR INDUSTRIES INC (CIK 0000060195),10-Q,2000-08-11,1,
238,60195,LONE STAR INDUSTRIES INC (CIK 0000060195),10-Q,2000-08-11,1,
239,60195,LONE STAR INDUSTRIES INC (CIK 0000060195),10-Q,2000-08-11,1,
240,60195,LONE STAR INDUSTRIES INC (CIK 0000060195),10-Q,2000-11-14,1,
241,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-08-08,1,
242,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-11-13,1,
243,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2001-03-16,1,
244,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2003-03-19,1,
245,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
246,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
247,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2005-03-11,1,
248,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2006-03-10,1,
249,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q,2000-08-14,1,
250,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q,2000-11-13,1,
251,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q,2001-05-14,1,
252,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q,2001-07-30,1,
253,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q,2001-11-09,1,
254,60911,ADVANCED TECHNICAL PRODUCTS INC (CIK 0000060911),10-Q/A,2002-04-01,1,
255,64394,MEAD CORP (CIK 0000064394),10-K,2001-03-09,1,
256,64394,MEAD CORP (CIK 0000064394),10-K,2001-03-09,1,
257,64394,MEAD CORP (CIK 0000064394),10-K,2001-03-09,1,
258,64394,MEAD CORP (CIK 0000064394),10-Q,2001-05-09,1,
259,64394,MEAD CORP (CIK 0000064394),10-Q,2001-08-08,1,
260,64394,MEAD CORP (CIK 0000064394),10-Q,2001-11-08,1,
261,64394,MEAD CORP (CIK 0000064394),10-Q/A,2001-12-21,1,
262,64394,MEAD CORP (CIK 0000064394),10-K/A,2001-12-21,1,
263,837579,MCN ENERGY GROUP INC (CIK 0000837579),10-Q,2000-08-15,1,
264,837579,MCN ENERGY GROUP INC (CIK 0000837579),10-Q,2000-11-14,1,
265,837579,MCN ENERGY GROUP INC (CIK 0000837579),10-Q,2001-05-14,1,
266,1130308,DTE ENTERPRISES INC (CIK 0001130308),10-Q,2001-08-14,1,
267,1130308,DTE ENTERPRISES INC (CIK 0001130308),10-Q,2001-11-14,1,
268,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-08-08,1,
269,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-11-13,1,
270,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2001-03-16,1,
271,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2003-03-19,1,
272,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
273,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
274,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2005-03-11,1,
275,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2006-03-10,1,
276,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q,2000-08-14,1,
277,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q,2000-11-20,1,
278,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-K,2001-03-30,1,
279,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q,2001-05-08,1,
280,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q,2001-08-14,1,
281,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q,2001-08-14,1,
282,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q/A,2001-08-16,1,
283,67532,GENESIS WORLDWIDE INC (CIK 0000067532),10-Q/A,2001-08-16,1,
284,68100,MORGAN J P & CO INC (CIK 0000068100),10-Q,2000-08-15,1,
285,932130,NABISCO HOLDINGS CORP (CIK 0000932130),10-K/A,2000-10-03,1,
286,932130,NABISCO HOLDINGS CORP (CIK 0000932130),10-K/A,2000-10-03,1,
287,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-08-08,1,
288,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-Q,2000-11-13,1,
289,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2001-03-16,1,
290,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2003-03-19,1,
291,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
292,202584,SYSTEM ENERGY RESOURCES INC (CIK 0000202584),10-K,2004-03-11,1,
293,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2005-03-11,1,
294,65984,ENTERGY CORP /DE/ (ETR) (CIK 0000065984),10-K,2006-03-10,1,
295,841528,RELIASTAR FINANCIAL CORP (CIK 0000841528),10-Q,2000-08-11,1,
296,310450,NOVAMETRIX MEDICAL SYSTEMS INC (CIK 0000310450),10-K,2000-07-27,1,
